test/google/delta-blue.js:18: [definite] ReferenceError, reading absent variable: document
test/google/delta-blue.js:83: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:83: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:87: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:87: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:137: [maybe] TypeError, call to non-function
test/google/delta-blue.js:149: [maybe] TypeError, call to non-function
test/google/delta-blue.js:150: [maybe] TypeError, call to non-function
test/google/delta-blue.js:155: [maybe] TypeError, call to non-function
test/google/delta-blue.js:156: [maybe] TypeError, call to non-function
test/google/delta-blue.js:157: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:158: [maybe] TypeError, call to non-function
test/google/delta-blue.js:162: [maybe] ReferenceError, reading absent variable: out
test/google/delta-blue.js:162: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:163: [maybe] ReferenceError, reading absent variable: overridden
test/google/delta-blue.js:167: [maybe] TypeError, call to non-function
test/google/delta-blue.js:168: [maybe] TypeError, call to non-function
test/google/delta-blue.js:201: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:210: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:210: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:238: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:239: [maybe] TypeError, call to non-function
test/google/delta-blue.js:239: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:240: [maybe] TypeError, call to non-function
test/google/delta-blue.js:240: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:255: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:333: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:334: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:334: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:338: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:339: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:339: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:343: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:343: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:344: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:348: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:358: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:374: [maybe] TypeError, call to non-function
test/google/delta-blue.js:374: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:397: [maybe] TypeError, call to non-function
test/google/delta-blue.js:397: [maybe] TypeError, call to non-function
test/google/delta-blue.js:398: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:398: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:400: [maybe] TypeError, call to non-function
test/google/delta-blue.js:411: [maybe] TypeError, call to non-function
test/google/delta-blue.js:412: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:416: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:417: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:444: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:445: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:450: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:451: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:452: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:456: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:457: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:457: [maybe] TypeError, writing property of null/undefined
test/google/delta-blue.js:465: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:465: [maybe] TypeError, reading property of null/undefined
test/google/delta-blue.js:465: [maybe] TypeError, reading property of null/undefined
